filename,distrito,cd_indice_vulnerabilidade_social,latitude,longitude,downloaded,image_path
TATUAPE.geojson,TATUAPE,1.0,-23.538247201555,-46.57347806029109,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/0_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,1.0,-23.54144173024089,-46.56914903445187,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/1_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,2.0,-23.53679120385564,-46.56942927678552,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/2_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,2.0,-23.53166168227269,-46.56996766089169,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/3_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,2.0,-23.542184705955023,-46.577822515400655,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/4_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,1.0,-23.55060279570764,-46.56111965519538,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/5_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,1.0,-23.542429739850387,-46.56643141853084,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/6_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,1.0,-23.54066723224271,-46.56709273791202,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/7_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,2.0,-23.549019791712347,-46.55882460079286,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/8_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,1.0,-23.54447124450376,-46.56865072618348,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/9_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,2.0,-23.530745682837463,-46.568153103575256,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/10_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,2.0,-23.55252429591452,-46.56266485851941,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/11_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,2.0,-23.52733768138406,-46.563586231507614,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/12_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,2.0,-23.53102814267625,-46.58250569970099,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/13_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,2.0,-23.530980203723683,-46.56148601476091,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/14_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,2.0,-23.54997574740728,-46.57439220808392,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/15_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,2.0,-23.546364735270256,-46.57326846204938,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/16_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,2.0,-23.5343111794533,-46.5742932861195,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/17_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,1.0,-23.53740819727133,-46.57346746286192,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/18_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,1.0,-23.52997865952065,-46.57516029076768,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/19_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,2.0,-23.53741219799125,-46.57305563748303,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/20_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,1.0,-23.531002165345807,-46.57464779013843,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/21_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,2.0,-23.5311052165721,-46.55711999184554,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/22_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,1.0,-23.529937214841585,-46.55593808301012,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/23_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,2.0,-23.54384573347919,-46.572320374794224,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/24_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,2.0,-23.537408196755354,-46.5745813882038,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/25_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,1.0,-23.54168022402221,-46.57039631232048,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/26_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,2.0,-23.53612971637324,-46.56633614174129,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/27_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,2.0,-23.533901191205523,-46.56983715146355,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/28_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,1.0,-23.543540249302577,-46.56509374235324,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/29_TATUAPE_640_640_20.png
TATUAPE.geojson,TATUAPE,1.0,-23.551106302410965,-46.55833046974825,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/30_TATUAPE_640_640_20.png
