filename,distrito,cd_indice_vulnerabilidade_social,latitude,longitude,downloaded,image_path,pool_count,bbox_centers,bbox_centers_coords
TATUAPE.geojson,TATUAPE,1.0,-23.538247201555,-46.57347806029109,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/0_TATUAPE_640_640_20.png,3,"[(465.5790100097656, 413.8487243652344), (495.399658203125, 473.41900634765625), (250.79025268554688, 92.32379150390625)]","[(-23.53836278375694, -46.57328282451765), (-23.53843614931847, -46.57324283209488), (-23.537966800114425, -46.57357087737059)]"
TATUAPE.geojson,TATUAPE,1.0,-23.54144173024089,-46.56914903445187,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/1_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,2.0,-23.53679120385564,-46.56942927678552,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/2_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,2.0,-23.53166168227269,-46.56996766089169,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/3_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,2.0,-23.542184705955023,-46.577822515400655,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/4_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,1.0,-23.55060279570764,-46.56111965519538,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/5_TATUAPE_640_640_20.png,6,"[(497.6602478027344, 290.7001647949219), (34.51219940185547, 352.76666259765625), (423.303955078125, 349.65911865234375), (250.02381896972656, 317.2279968261719), (309.1395263671875, 23.88152313232422), (4.642368793487549, 137.0119171142578)]","[(-23.550566714010277, -46.560881395326135), (-23.550643146678738, -46.56150252242022), (-23.550639319849697, -46.56098111442932), (-23.55059938208504, -46.56121350013789), (-23.550238136412066, -46.56113422015889), (-23.550377452439268, -46.561542580801444)]"
TATUAPE.geojson,TATUAPE,1.0,-23.542429739850387,-46.56643141853084,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/6_TATUAPE_640_640_20.png,4,"[(457.8544006347656, 179.93698120117188), (243.88400268554688, 227.39230346679688), (349.91668701171875, 334.79376220703125), (161.64816284179688, 230.01242065429688)]","[(-23.54225724653836, -46.566246542218465), (-23.54231568970045, -46.56653349757099), (-23.542447958971053, -46.56639129731057), (-23.54231891648148, -46.56664378392198)]"
TATUAPE.geojson,TATUAPE,1.0,-23.54066723224271,-46.56709273791202,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/7_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,2.0,-23.549019791712347,-46.55882460079286,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/8_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,1.0,-23.54447124450376,-46.56865072618348,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/9_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,2.0,-23.530745682837463,-46.568153103575256,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/10_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,2.0,-23.55252429591452,-46.56266485851941,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/11_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,2.0,-23.52733768138406,-46.563586231507614,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/12_TATUAPE_640_640_20.png,1,"[(235.70411682128906, 160.58969116210938)]","[(-23.527141338572648, -46.56369928057938)]"
TATUAPE.geojson,TATUAPE,2.0,-23.53102814267625,-46.58250569970099,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/13_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,2.0,-23.530980203723683,-46.56148601476091,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/14_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,2.0,-23.54997574740728,-46.57439220808392,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/15_TATUAPE_640_640_20.png,1,"[(416.8648986816406, 46.24296569824219)]","[(-23.54963862381902, -46.57426230272591)]"
TATUAPE.geojson,TATUAPE,2.0,-23.546364735270256,-46.57326846204938,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/16_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,2.0,-23.5343111794533,-46.5742932861195,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/17_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,1.0,-23.53740819727133,-46.57346746286192,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/18_TATUAPE_640_640_20.png,2,"[(496.2664794921875, 242.540771484375), (497.73675537109375, 21.894939422607422)]","[(-23.53731279943443, -46.573231072173094), (-23.537041054730764, -46.5732291003885)]"
TATUAPE.geojson,TATUAPE,1.0,-23.52997865952065,-46.57516029076768,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/19_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,2.0,-23.53741219799125,-46.57305563748303,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/20_TATUAPE_640_640_20.png,2,"[(189.70904541015625, 238.198486328125), (193.04327392578125, 20.85083770751953)]","[(-23.537311452252215, -46.57323037047022), (-23.537043769559013, -46.573225898941786)]"
TATUAPE.geojson,TATUAPE,1.0,-23.531002165345807,-46.57464779013843,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/21_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,2.0,-23.5311052165721,-46.55711999184554,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/22_TATUAPE_640_640_20.png,1,"[(165.295654296875, 305.2879638671875)]","[(-23.531087096540507, -46.55732746559183)]"
TATUAPE.geojson,TATUAPE,1.0,-23.529937214841585,-46.55593808301012,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/23_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,2.0,-23.54384573347919,-46.572320374794224,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/24_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,2.0,-23.537408196755354,-46.5745813882038,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/25_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,1.0,-23.54168022402221,-46.57039631232048,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/26_TATUAPE_640_640_20.png,4,"[(269.862548828125, 209.36297607421875), (354.8082580566406, 339.572265625), (461.29083251953125, 251.13296508789062), (531.0975952148438, 238.0968017578125)]","[(-23.541543969244735, -46.57046355157467), (-23.541704328201828, -46.57034963102224), (-23.541595410980566, -46.5702068274149), (-23.541579356323, -46.570113209679036)]"
TATUAPE.geojson,TATUAPE,2.0,-23.53612971637324,-46.56633614174129,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/27_TATUAPE_640_640_20.png,0,[],[]
TATUAPE.geojson,TATUAPE,2.0,-23.533901191205523,-46.56983715146355,1.0,/media/paulo/datapartition1/projects/cloudwalk/nimbus3/data/geosampa/images/28_TATUAPE_640_640_20.png,0,[],[]
