epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7282,1.39017,0.79816,1.09926,0.79352,0.84321,0.8812,0.45909,1.55288,0.81428,1.22711,0.00064,0.00064,0.00064
2,34.6191,1.40946,0.75108,1.07963,0.80143,0.83447,0.85529,0.44109,1.57241,0.81729,1.23673,0.00129743,0.00129743,0.00129743
3,41.2488,1.42719,0.83539,1.09476,0.84465,0.74684,0.85375,0.40636,1.69813,0.88633,1.27802,0.00195224,0.00195224,0.00195224
4,48.0901,1.42667,0.807,1.0964,0.816,0.81013,0.85564,0.4178,1.6518,0.87194,1.26853,0.00198812,0.00198812,0.00198812
5,54.7598,1.42976,0.81332,1.10714,0.83072,0.76371,0.84318,0.4396,1.55317,0.89194,1.24232,0.00198416,0.00198416,0.00198416
6,61.5592,1.46991,0.81016,1.12014,0.82499,0.75581,0.84431,0.4114,1.69893,0.9081,1.29166,0.0019802,0.0019802,0.0019802
7,68.2103,1.42098,0.80884,1.11405,0.74818,0.77726,0.82206,0.40712,1.64872,0.93839,1.27364,0.00197624,0.00197624,0.00197624
8,74.9156,1.47733,0.8372,1.11044,0.82003,0.81013,0.83588,0.4311,1.52611,0.87072,1.23515,0.00197228,0.00197228,0.00197228
9,81.5354,1.44717,0.8203,1.11886,0.8335,0.79325,0.8549,0.44876,1.50047,0.84369,1.20934,0.00196832,0.00196832,0.00196832
10,88.1685,1.43931,0.76812,1.09776,0.79311,0.79325,0.85191,0.43195,1.59009,0.85212,1.24426,0.00196436,0.00196436,0.00196436
11,94.7447,1.46011,0.82147,1.10148,0.86137,0.76371,0.86632,0.4266,1.6664,0.90303,1.28103,0.0019604,0.0019604,0.0019604
12,101.546,1.43208,0.82078,1.08731,0.79375,0.82817,0.84391,0.43661,1.58756,0.88109,1.23819,0.00195644,0.00195644,0.00195644
13,108.151,1.36956,0.7806,1.0715,0.83311,0.8425,0.88004,0.458,1.5749,0.81431,1.25506,0.00195248,0.00195248,0.00195248
14,114.783,1.41307,0.79031,1.09371,0.84543,0.77637,0.84907,0.41771,1.65501,0.86014,1.2766,0.00194852,0.00194852,0.00194852
15,121.412,1.44416,0.80716,1.10167,0.81773,0.77215,0.83629,0.43055,1.62215,0.89261,1.27794,0.00194456,0.00194456,0.00194456
16,128.032,1.38121,0.8154,1.09268,0.78542,0.77637,0.85297,0.39692,1.7521,0.91392,1.31741,0.0019406,0.0019406,0.0019406
17,134.692,1.40991,0.79566,1.09292,0.82847,0.80169,0.85603,0.45396,1.52229,0.84928,1.23686,0.00193664,0.00193664,0.00193664
18,141.67,1.40932,0.75376,1.0734,0.76919,0.81857,0.84321,0.41737,1.65584,1.15327,1.28306,0.00193268,0.00193268,0.00193268
19,148.33,1.38624,0.78571,1.09058,0.8376,0.80521,0.8666,0.41225,1.63887,0.8507,1.28056,0.00192872,0.00192872,0.00192872
20,154.958,1.37269,0.7642,1.08594,0.85309,0.81013,0.87176,0.43323,1.62815,0.81615,1.27216,0.00192476,0.00192476,0.00192476
21,161.581,1.36013,0.7722,1.07221,0.77715,0.74262,0.82092,0.38403,1.75705,0.98303,1.32127,0.0019208,0.0019208,0.0019208
22,168.237,1.42365,0.79753,1.10487,0.83814,0.79325,0.87026,0.43699,1.6429,0.87991,1.27037,0.00191684,0.00191684,0.00191684
23,174.882,1.40376,0.78773,1.10458,0.83157,0.75949,0.84989,0.44126,1.60733,0.82199,1.26076,0.00191288,0.00191288,0.00191288
24,181.595,1.37247,0.77534,1.07562,0.83086,0.6962,0.78023,0.39797,1.65167,1.18628,1.28055,0.00190892,0.00190892,0.00190892
25,188.25,1.44622,0.82362,1.09411,0.86699,0.68776,0.8204,0.41719,1.6557,0.9312,1.29966,0.00190496,0.00190496,0.00190496
26,195.006,1.37188,0.75313,1.06413,0.81174,0.78481,0.85362,0.42744,1.61827,0.86556,1.28304,0.001901,0.001901,0.001901
27,201.531,1.39505,0.76267,1.0634,0.8189,0.78903,0.85859,0.43718,1.61005,0.87124,1.25278,0.00189704,0.00189704,0.00189704
28,208.205,1.34704,0.74895,1.06966,0.79101,0.80591,0.85915,0.43867,1.58972,0.86375,1.27597,0.00189308,0.00189308,0.00189308
29,214.76,1.37676,0.77936,1.06669,0.86186,0.77215,0.86511,0.42653,1.64571,0.84764,1.28457,0.00188912,0.00188912,0.00188912
30,221.694,1.38311,0.76716,1.09021,0.80111,0.83544,0.87464,0.43895,1.59964,0.817,1.25836,0.00188516,0.00188516,0.00188516
31,229.695,1.37945,0.7547,1.06163,0.83583,0.75188,0.84791,0.40101,1.73659,0.90947,1.30044,0.0018812,0.0018812,0.0018812
32,237.53,1.36323,0.76605,1.08905,0.8297,0.81013,0.86341,0.44719,1.57094,0.81239,1.25618,0.00187724,0.00187724,0.00187724
33,247.353,1.37314,0.7554,1.08399,0.85745,0.79747,0.85814,0.4386,1.60812,0.82927,1.27977,0.00187328,0.00187328,0.00187328
34,257.291,1.34944,0.75121,1.06195,0.78163,0.78903,0.84438,0.42393,1.66023,0.86585,1.29396,0.00186932,0.00186932,0.00186932
35,267.377,1.36058,0.74217,1.06361,0.78515,0.83966,0.85644,0.41867,1.63287,0.88837,1.27347,0.00186536,0.00186536,0.00186536
36,275.926,1.31595,0.73978,1.05532,0.8583,0.79747,0.85927,0.43496,1.62161,0.82424,1.28044,0.0018614,0.0018614,0.0018614
37,284.402,1.2938,0.71901,1.03718,0.81243,0.78584,0.84221,0.42421,1.60511,0.8484,1.26459,0.00185744,0.00185744,0.00185744
38,292.856,1.35121,0.76747,1.09293,0.84965,0.77637,0.86703,0.46258,1.53596,0.82113,1.23912,0.00185348,0.00185348,0.00185348
39,301.586,1.37946,0.74988,1.07114,0.76903,0.83544,0.88067,0.44622,1.60827,0.87264,1.27686,0.00184952,0.00184952,0.00184952
40,308.394,1.37219,0.76365,1.08748,0.79732,0.78903,0.83897,0.432,1.63216,0.89975,1.27646,0.00184556,0.00184556,0.00184556
41,315.257,1.36622,0.75949,1.06257,0.81274,0.77215,0.84743,0.42813,1.67294,0.86692,1.31051,0.0018416,0.0018416,0.0018416
42,322.333,1.26035,0.71213,1.03109,0.81026,0.73874,0.81332,0.41804,1.65061,0.86723,1.29897,0.00183764,0.00183764,0.00183764
43,328.96,1.33459,0.72866,1.06169,0.84101,0.79325,0.86496,0.45474,1.51527,0.77644,1.22367,0.00183368,0.00183368,0.00183368
44,335.738,1.29441,0.71349,1.05898,0.78736,0.82278,0.85795,0.45014,1.58915,0.85402,1.25809,0.00182972,0.00182972,0.00182972
45,342.428,1.33846,0.72894,1.06864,0.85342,0.76793,0.86965,0.43862,1.62355,0.84125,1.27613,0.00182576,0.00182576,0.00182576
46,348.977,1.30655,0.73164,1.0537,0.85104,0.74262,0.84049,0.44698,1.57439,0.90747,1.26054,0.0018218,0.0018218,0.0018218
47,355.664,1.32771,0.72008,1.05722,0.80318,0.79747,0.86241,0.45874,1.56147,0.8294,1.25803,0.00181784,0.00181784,0.00181784
48,362.229,1.25871,0.69248,1.01885,0.8521,0.71308,0.84413,0.43434,1.60701,0.82687,1.27727,0.00181388,0.00181388,0.00181388
49,368.944,1.28224,0.70483,1.0353,0.85056,0.76793,0.8546,0.43076,1.63886,0.82967,1.29445,0.00180992,0.00180992,0.00180992
50,375.567,1.36173,0.72553,1.09466,0.85043,0.75949,0.86018,0.45471,1.58832,0.80514,1.2614,0.00180596,0.00180596,0.00180596
51,382.172,1.29496,0.70896,1.05397,0.84095,0.74684,0.86029,0.45608,1.54449,0.82664,1.24289,0.001802,0.001802,0.001802
52,388.865,1.32989,0.71535,1.05815,0.79357,0.76238,0.833,0.45606,1.53717,0.82903,1.23556,0.00179804,0.00179804,0.00179804
53,395.437,1.30229,0.70913,1.07109,0.77572,0.79747,0.83694,0.42387,1.66599,0.84745,1.27351,0.00179408,0.00179408,0.00179408
54,402.174,1.27788,0.72135,1.04497,0.80436,0.798,0.8551,0.44768,1.58257,0.7989,1.25474,0.00179012,0.00179012,0.00179012
55,408.729,1.3033,0.70273,1.06121,0.85696,0.75834,0.82712,0.40634,1.6689,0.85725,1.28582,0.00178616,0.00178616,0.00178616
56,415.37,1.28412,0.72227,1.04524,0.87245,0.72155,0.84982,0.44925,1.53481,0.8575,1.25145,0.0017822,0.0017822,0.0017822
57,421.972,1.28914,0.7131,1.05012,0.83539,0.81368,0.87192,0.46331,1.52977,0.78423,1.23399,0.00177824,0.00177824,0.00177824
58,428.877,1.25863,0.68075,1.02433,0.86538,0.75949,0.86064,0.45635,1.5272,0.86414,1.23178,0.00177428,0.00177428,0.00177428
59,435.475,1.25481,0.67839,1.054,0.82005,0.80169,0.86242,0.44144,1.59579,0.8395,1.25922,0.00177032,0.00177032,0.00177032
60,442.288,1.27263,0.69742,1.0486,0.81444,0.80591,0.85507,0.44745,1.60272,0.85705,1.27761,0.00176636,0.00176636,0.00176636
61,448.922,1.29417,0.71335,1.06292,0.77702,0.82338,0.85694,0.44249,1.59772,0.88027,1.28532,0.0017624,0.0017624,0.0017624
62,455.603,1.27548,0.70804,1.02619,0.80755,0.80169,0.85364,0.44223,1.58015,0.85573,1.26236,0.00175844,0.00175844,0.00175844
